date,clae2,salary,dollar,dolarized_salary
2007-01-01,1,1042,3.11,335
2007-01-01,2,909,3.11,292
2007-01-01,3,3786,3.11,1217
2007-01-01,5,4171,3.11,1341
2007-01-01,6,11168,3.11,3591
2007-01-01,7,4513,3.11,1451
2007-01-01,8,2378,3.11,765
2007-01-01,9,4447,3.11,1430
2007-01-01,10,2118,3.11,681
2007-01-01,11,2795,3.11,899
2007-01-01,12,3419,3.11,1099
2007-01-01,13,1747,3.11,562
2007-01-01,14,1322,3.11,425
2007-01-01,15,1678,3.11,540
2007-01-01,16,1346,3.11,433
2007-01-01,17,2737,3.11,880
2007-01-01,18,2058,3.11,662
2007-01-01,19,4818,3.11,1549
2007-01-01,20,3308,3.11,1064
2007-01-01,21,4961,3.11,1595
2007-01-01,22,2212,3.11,711
2007-01-01,23,2186,3.11,703
2007-01-01,24,3870,3.11,1244
2007-01-01,25,1769,3.11,569
2007-01-01,26,2505,3.11,805
2007-01-01,27,2218,3.11,713
2007-01-01,28,2228,3.11,716
2007-01-01,29,3455,3.11,1111
2007-01-01,30,2326,3.11,748
2007-01-01,31,1521,3.11,489
2007-01-01,32,1800,3.11,579
2007-01-01,33,2371,3.11,762
2007-01-01,35,4431,3.11,1425
2007-01-01,36,3030,3.11,974
2007-01-01,37,1777,3.11,571
2007-01-01,38,2431,3.11,782
2007-01-01,39,1635,3.11,526
2007-01-01,41,1137,3.11,366
2007-01-01,42,1881,3.11,605
2007-01-01,43,1416,3.11,455
2007-01-01,45,1823,3.11,586
2007-01-01,46,1973,3.11,634
2007-01-01,47,1472,3.11,473
2007-01-01,49,2216,3.11,713
2007-01-01,50,4583,3.11,1474
2007-01-01,51,4219,3.11,1357
2007-01-01,52,2262,3.11,727
2007-01-01,53,2297,3.11,739
2007-01-01,55,1700,3.11,547
2007-01-01,56,1135,3.11,365
2007-01-01,58,3152,3.11,1014
2007-01-01,59,2411,3.11,775
2007-01-01,60,3207,3.11,1031
2007-01-01,61,3246,3.11,1044
2007-01-01,62,3332,3.11,1071
2007-01-01,63,3643,3.11,1171
2007-01-01,64,5348,3.11,1720
2007-01-01,65,3410,3.11,1096
2007-01-01,66,3380,3.11,1087
2007-01-01,68,1535,3.11,494
2007-01-01,69,2037,3.11,655
2007-01-01,70,2102,3.11,676
2007-01-01,71,1824,3.11,586
2007-01-01,72,2840,3.11,913
2007-01-01,73,3034,3.11,976
2007-01-01,74,1320,3.11,424
2007-01-01,75,986,3.11,317
2007-01-01,77,2045,3.11,658
2007-01-01,78,1383,3.11,445
2007-01-01,79,1837,3.11,591
2007-01-01,80,1255,3.11,404
2007-01-01,81,964,3.11,310
2007-01-01,82,2149,3.11,691
2007-01-01,85,1036,3.11,333
2007-01-01,86,1993,3.11,641
2007-01-01,87,1485,3.11,477
2007-01-01,88,1233,3.11,396
2007-01-01,90,1412,3.11,454
2007-01-01,91,1694,3.11,545
2007-01-01,92,2194,3.11,705
2007-01-01,93,1504,3.11,484
2007-01-01,94,1959,3.11,630
2007-01-01,95,1460,3.11,469
2007-01-01,96,1145,3.11,368
2007-01-01,999,1705,3.11,548
2007-02-01,1,1038,3.12,333
2007-02-01,2,928,3.12,297
2007-02-01,3,3337,3.12,1070
2007-02-01,5,4516,3.12,1447
2007-02-01,6,9508,3.12,3047
2007-02-01,7,3852,3.12,1235
2007-02-01,8,2255,3.12,723
2007-02-01,9,4430,3.12,1420
2007-02-01,10,1960,3.12,628
2007-02-01,11,2484,3.12,796
2007-02-01,12,5353,3.12,1716
2007-02-01,13,1638,3.12,525
2007-02-01,14,1286,3.12,412
2007-02-01,15,1498,3.12,480
2007-02-01,16,1245,3.12,399
2007-02-01,17,2437,3.12,781
2007-02-01,18,2001,3.12,641
2007-02-01,19,4601,3.12,1475
2007-02-01,20,3200,3.12,1026
2007-02-01,21,4235,3.12,1357
2007-02-01,22,2017,3.12,646
2007-02-01,23,2019,3.12,647
2007-02-01,24,3089,3.12,990
2007-02-01,25,1593,3.12,511
2007-02-01,26,2368,3.12,759
2007-02-01,27,1958,3.12,628
2007-02-01,28,1986,3.12,637
2007-02-01,29,2738,3.12,878
2007-02-01,30,2242,3.12,719
2007-02-01,31,1388,3.12,445
2007-02-01,32,1617,3.12,518
2007-02-01,33,2225,3.12,713
2007-02-01,35,4062,3.12,1302
2007-02-01,36,2764,3.12,886
2007-02-01,37,1816,3.12,582
2007-02-01,38,2235,3.12,716
2007-02-01,39,1562,3.12,501
2007-02-01,41,1093,3.12,350
2007-02-01,42,1809,3.12,580
2007-02-01,43,1364,3.12,437
2007-02-01,45,1741,3.12,558
2007-02-01,46,1883,3.12,604
2007-02-01,47,1488,3.12,477
2007-02-01,49,2190,3.12,702
2007-02-01,50,4046,3.12,1297
2007-02-01,51,4243,3.12,1360
2007-02-01,52,2164,3.12,694
2007-02-01,53,2259,3.12,724
2007-02-01,55,1699,3.12,545
2007-02-01,56,1130,3.12,362
2007-02-01,58,2939,3.12,942
2007-02-01,59,2461,3.12,789
2007-02-01,60,2980,3.12,955
2007-02-01,61,3364,3.12,1078
2007-02-01,62,3201,3.12,1026
2007-02-01,63,3136,3.12,1005
