date,clae2,salary,dollar,dolarized_salary
2007-01-01,1,1019,3.11,328
2007-01-01,2,1048,3.11,337
2007-01-01,3,2514,3.11,808
2007-01-01,5,3457,3.11,1112
2007-01-01,6,6811,3.11,2190
2007-01-01,7,4193,3.11,1348
2007-01-01,8,2124,3.11,683
2007-01-01,9,3055,3.11,982
2007-01-01,10,1531,3.11,492
2007-01-01,11,2228,3.11,716
2007-01-01,12,3363,3.11,1081
2007-01-01,13,1437,3.11,462
2007-01-01,14,1223,3.11,393
2007-01-01,15,1441,3.11,463
2007-01-01,16,1402,3.11,451
2007-01-01,17,2047,3.11,658
2007-01-01,18,1634,3.11,525
2007-01-01,19,3158,3.11,1015
2007-01-01,20,2482,3.11,798
2007-01-01,21,3151,3.11,1013
2007-01-01,22,1777,3.11,571
2007-01-01,23,1940,3.11,624
2007-01-01,24,3219,3.11,1035
2007-01-01,25,1578,3.11,507
2007-01-01,26,2079,3.11,668
2007-01-01,27,1759,3.11,566
2007-01-01,28,1925,3.11,619
2007-01-01,29,2584,3.11,831
2007-01-01,30,2235,3.11,719
2007-01-01,31,1517,3.11,488
2007-01-01,32,1455,3.11,468
2007-01-01,33,2089,3.11,672
2007-01-01,35,3216,3.11,1034
2007-01-01,36,2610,3.11,839
2007-01-01,37,1654,3.11,532
2007-01-01,38,2084,3.11,670
2007-01-01,39,1396,3.11,449
2007-01-01,41,1371,3.11,441
2007-01-01,42,1820,3.11,585
2007-01-01,43,1320,3.11,424
2007-01-01,45,1581,3.11,508
2007-01-01,46,1730,3.11,556
2007-01-01,47,1233,3.11,396
2007-01-01,49,1608,3.11,517
2007-01-01,50,2633,3.11,847
2007-01-01,51,2824,3.11,908
2007-01-01,52,1894,3.11,609
2007-01-01,53,2092,3.11,673
2007-01-01,55,1401,3.11,450
2007-01-01,56,940,3.11,302
2007-01-01,58,2298,3.11,739
2007-01-01,59,1814,3.11,583
2007-01-01,60,2352,3.11,756
2007-01-01,61,2297,3.11,739
2007-01-01,62,2492,3.11,801
2007-01-01,63,2264,3.11,728
2007-01-01,64,3368,3.11,1083
2007-01-01,65,2583,3.11,831
2007-01-01,66,1889,3.11,607
2007-01-01,68,1203,3.11,387
2007-01-01,69,1408,3.11,453
2007-01-01,70,1491,3.11,479
2007-01-01,71,1631,3.11,524
2007-01-01,72,2689,3.11,865
2007-01-01,73,1755,3.11,564
2007-01-01,74,1182,3.11,380
2007-01-01,75,882,3.11,284
2007-01-01,77,1433,3.11,461
2007-01-01,78,1226,3.11,394
2007-01-01,79,1650,3.11,531
2007-01-01,80,1193,3.11,384
2007-01-01,81,750,3.11,241
2007-01-01,82,1459,3.11,469
2007-01-01,85,1023,3.11,329
2007-01-01,86,1660,3.11,534
2007-01-01,87,1275,3.11,410
2007-01-01,88,1198,3.11,385
2007-01-01,90,1205,3.11,387
2007-01-01,91,1321,3.11,425
2007-01-01,92,1766,3.11,568
2007-01-01,93,1095,3.11,352
2007-01-01,94,1482,3.11,477
2007-01-01,95,1159,3.11,373
2007-01-01,96,952,3.11,306
2007-01-01,999,1857,3.11,597
2007-02-01,1,1063,3.12,341
2007-02-01,2,1044,3.12,335
2007-02-01,3,2309,3.12,740
2007-02-01,5,3259,3.12,1045
2007-02-01,6,6446,3.12,2066
2007-02-01,7,3431,3.12,1100
2007-02-01,8,2228,3.12,714
2007-02-01,9,3178,3.12,1019
2007-02-01,10,1452,3.12,465
2007-02-01,11,2008,3.12,644
2007-02-01,12,3306,3.12,1060
2007-02-01,13,1328,3.12,426
2007-02-01,14,1174,3.12,376
2007-02-01,15,1335,3.12,428
2007-02-01,16,1399,3.12,448
2007-02-01,17,1874,3.12,601
2007-02-01,18,1564,3.12,501
2007-02-01,19,2848,3.12,913
2007-02-01,20,2392,3.12,767
2007-02-01,21,2850,3.12,913
2007-02-01,22,1673,3.12,536
2007-02-01,23,1857,3.12,595
2007-02-01,24,2822,3.12,904
2007-02-01,25,1477,3.12,473
2007-02-01,26,2066,3.12,662
2007-02-01,27,1699,3.12,545
2007-02-01,28,1763,3.12,565
2007-02-01,29,2474,3.12,793
2007-02-01,30,2216,3.12,710
2007-02-01,31,1397,3.12,448
2007-02-01,32,1421,3.12,455
2007-02-01,33,2051,3.12,657
2007-02-01,35,3004,3.12,963
2007-02-01,36,2494,3.12,799
2007-02-01,37,1661,3.12,532
2007-02-01,38,2018,3.12,647
2007-02-01,39,1330,3.12,426
2007-02-01,41,1499,3.12,480
2007-02-01,42,1744,3.12,559
2007-02-01,43,1336,3.12,428
2007-02-01,45,1554,3.12,498
2007-02-01,46,1674,3.12,537
2007-02-01,47,1220,3.12,391
2007-02-01,49,1589,3.12,509
2007-02-01,50,2341,3.12,750
2007-02-01,51,2801,3.12,898
2007-02-01,52,1815,3.12,582
2007-02-01,53,2029,3.12,650
2007-02-01,55,1401,3.12,449
2007-02-01,56,924,3.12,296
2007-02-01,58,2050,3.12,657
2007-02-01,59,1774,3.12,569
2007-02-01,60,2261,3.12,725
2007-02-01,61,2226,3.12,713
2007-02-01,62,2440,3.12,782
2007-02-01,63,2334,3.12,748
2007-02-01,64,3346,3.12,1072
2007-02-01,65,2352,3.12,754
2007-02-01,66,1785,3.12,572
2007-02-01,68,1173,3.12,376
2007-02-01,69,1328,3.12,426
2007-02-01,70,1521,3.12,488
2007-02-01,71,1676,3.12,537
2007-02-01,72,2801,3.12,898
2007-02-01,73,1750,3.12,561
2007-02-01,74,1129,3.12,362
2007-02-01,75,874,3.12,280
2007-02-01,77,1434,3.12,460
2007-02-01,78,1098,3.12,352
2007-02-01,79,1616,3.12,518
2007-02-01,80,1223,3.12,392
2007-02-01,81,741,3.12,238
2007-02-01,82,1415,3.12,454
2007-02-01,85,1025,3.12,329
2007-02-01,86,1638,3.12,525
2007-02-01,87,1288,3.12,413
2007-02-01,88,1172,3.12,376
2007-02-01,90,1210,3.12,388
2007-02-01,91,1227,3.12,393
2007-02-01,92,1611,3.12,516
2007-02-01,93,1093,3.12,350
2007-02-01,94,1411,3.12,452
2007-02-01,95,1223,3.12,392
2007-02-01,96,943,3.12,302
2007-02-01,999,1839,3.12,589
2007-03-01,1,1086,3.12,348
2007-03-01,2,1041,3.12,334
2007-03-01,3,2187,3.12,701
2007-03-01,5,2491,3.12,798
2007-03-01,6,11766,3.12,3771
2007-03-01,7,3709,3.12,1189
2007-03-01,8,2291,3.12,734
2007-03-01,9,3357,3.12,1076
2007-03-01,10,1587,3.12,509
2007-03-01,11,2354,3.12,754
2007-03-01,12,2824,3.12,905
2007-03-01,13,1385,3.12,444
2007-03-01,14,1209,3.12,388
2007-03-01,15,1403,3.12,450
2007-03-01,16,1365,3.12,438
2007-03-01,17,2190,3.12,702
2007-03-01,18,1566,3.12,502
2007-03-01,19,4737,3.12,1518
2007-03-01,20,2793,3.12,895
2007-03-01,21,3040,3.12,974
2007-03-01,22,1688,3.12,541
2007-03-01,23,1842,3.12,590
2007-03-01,24,3009,3.12,964
2007-03-01,25,1498,3.12,480
2007-03-01,26,2021,3.12,648
2007-03-01,27,1665,3.12,534
2007-03-01,28,1775,3.12,569
2007-03-01,29,2332,3.12,747
2007-03-01,30,2482,3.12,796
2007-03-01,31,1553,3.12,498
2007-03-01,32,1377,3.12,441
2007-03-01,33,1803,3.12,578
2007-03-01,35,3759,3.12,1205
2007-03-01,36,3220,3.12,1032
2007-03-01,37,1682,3.12,539
2007-03-01,38,2087,3.12,669
