fecha,clae2,mujer,p10,p25,w_mean,w_median,p75,p90,p99
2007-01-01,1,0,350,699,1042,898,1150,1555,4194
2007-01-01,1,1,252,510,1019,871,1245,1780,4235
2007-01-01,2,0,260,467,909,806,1096,1508,3727
2007-01-01,2,1,348,531,1048,896,1282,1859,3909
2007-01-01,3,0,750,1188,3786,2169,4619,8533,24633
2007-01-01,3,1,972,1219,2514,1753,2602,5813,10000
2007-01-01,5,0,1460,1982,4171,3568,5480,8889,10000
2007-01-01,5,1,1088,1796,3457,2847,4354,6678,10000
2007-01-01,6,0,3311,4519,11168,6450,10000,16629,80139
2007-01-01,6,1,2221,3413,6811,4835,7338,10802,30888
2007-01-01,7,0,1202,1819,4513,2970,5000,8971,30364
2007-01-01,7,1,1032,1779,4193,2640,4756,8692,31102
2007-01-01,8,0,715,1054,2378,1491,2500,4430,10712
2007-01-01,8,1,582,1015,2124,1503,2464,4119,10000
2007-01-01,9,0,1249,2528,4447,3831,5470,8022,16036
2007-01-01,9,1,801,1499,3055,2297,3598,6000,12233
2007-01-01,10,0,705,1104,2118,1564,2442,3669,10000
2007-01-01,10,1,486,833,1531,1239,1768,2636,6432
2007-01-01,11,0,807,1238,2795,1945,3126,4713,11145
2007-01-01,11,1,571,1038,2228,1652,2600,3779,9724
2007-01-01,12,0,349,1251,3419,2133,3622,5652,24830
2007-01-01,12,1,131,294,3363,1047,3046,4822,37350
2007-01-01,13,0,751,1098,1747,1403,1924,2858,7247
2007-01-01,13,1,624,926,1437,1235,1605,2279,4794
2007-01-01,14,0,599,876,1322,1170,1486,2039,4722
2007-01-01,14,1,587,843,1223,1151,1405,1814,3598
2007-01-01,15,0,681,1040,1678,1469,1931,2608,6500
2007-01-01,15,1,623,964,1441,1317,1669,2209,4751
2007-01-01,16,0,533,800,1346,1125,1434,1922,5040
2007-01-01,16,1,556,816,1402,1189,1551,2079,6218
2007-01-01,17,0,924,1319,2737,1987,3065,4677,12921
2007-01-01,17,1,657,1034,2047,1487,2348,3911,10143
2007-01-01,18,0,759,1154,2058,1585,2382,3631,9138
2007-01-01,18,1,583,936,1634,1330,1860,2779,7901
2007-01-01,19,0,1339,1638,4818,2924,5792,9719,25816
2007-01-01,19,1,1286,1425,3158,1645,3233,5956,16459
2007-01-01,20,0,1066,1434,3308,2272,3862,6378,17595
2007-01-01,20,1,738,1256,2482,1726,2779,4555,13234
2007-01-01,21,0,1400,2148,4961,3519,6783,10000,19333
2007-01-01,21,1,1194,1702,3151,2500,3648,5705,11147
2007-01-01,22,0,957,1303,2212,1725,2561,3803,9715
2007-01-01,22,1,743,1167,1777,1483,2025,2943,6493
2007-01-01,23,0,837,1184,2186,1618,2448,3749,10000
2007-01-01,23,1,646,1056,1940,1392,2176,3508,8585
2007-01-01,24,0,994,1488,3870,2699,4208,7159,19160
2007-01-01,24,1,821,1293,3219,2256,3858,5794,18793
2007-01-01,25,0,717,1034,1769,1387,1979,3047,7621
2007-01-01,25,1,577,965,1578,1264,1802,2711,6081
2007-01-01,26,0,875,1201,2505,1687,2772,4630,13433
2007-01-01,26,1,707,1118,2079,1494,2500,3779,9217
2007-01-01,27,0,834,1146,2218,1590,2443,3990,10000
2007-01-01,27,1,739,1080,1759,1397,2001,3055,7123
2007-01-01,28,0,844,1145,2228,1624,2487,4072,10000
2007-01-01,28,1,616,1003,1925,1415,2126,3335,10000
2007-01-01,29,0,950,1356,3455,2116,4213,7496,16408
2007-01-01,29,1,795,1200,2584,1871,3160,4988,11346
2007-01-01,30,0,727,1204,2326,2128,2988,3813,9316
2007-01-01,30,1,632,1165,2235,1919,2844,3983,8124
2007-01-01,31,0,663,1014,1521,1272,1649,2310,6255
2007-01-01,31,1,608,1009,1517,1290,1649,2422,6278
2007-01-01,32,0,697,1070,1800,1400,1985,3003,7938
2007-01-01,32,1,593,950,1455,1248,1643,2339,5207
2007-01-01,33,0,667,1066,2371,1536,2643,4291,10000
2007-01-01,33,1,575,868,2089,1250,2121,3782,11973
2007-01-01,35,0,1447,2242,4431,3363,5080,9022,18006
2007-01-01,35,1,1000,1649,3216,2529,3625,5824,13152
2007-01-01,36,0,1283,1741,3030,2578,3504,4482,9582
2007-01-01,36,1,1034,1568,2610,2298,3090,4007,7539
2007-01-01,37,0,835,1139,1777,1620,2170,2863,6000
2007-01-01,37,1,602,1138,1654,1552,2002,2833,4664
2007-01-01,38,0,1057,1538,2431,2349,2902,3802,7084
2007-01-01,38,1,481,930,2084,1604,2715,3775,7533
2007-01-01,39,0,512,947,1635,1359,1972,2869,5765
2007-01-01,39,1,375,625,1396,1277,1690,2177,4571
2007-01-01,41,0,363,677,1137,1030,1384,1817,3783
2007-01-01,41,1,542,798,1371,1200,1587,2300,5091
2007-01-01,42,0,586,1022,1881,1461,2190,3472,8714
2007-01-01,42,1,626,1066,1820,1481,2166,3130,7777
2007-01-01,43,0,453,789,1416,1172,1646,2528,5498
2007-01-01,43,1,469,675,1320,1170,1565,2320,5247
2007-01-01,45,0,686,1140,1823,1358,1906,2914,9400
2007-01-01,45,1,591,1000,1581,1284,1766,2543,6066
2007-01-01,46,0,608,1092,1973,1322,1885,3341,11434
2007-01-01,46,1,596,942,1730,1275,1737,2921,9873
2007-01-01,47,0,608,1016,1472,1260,1557,2197,5825
2007-01-01,47,1,575,716,1233,1185,1414,1856,4002
2007-01-01,49,0,813,1286,2216,2045,2854,3672,6236
2007-01-01,49,1,563,881,1608,1341,2000,2839,6000
2007-01-01,50,0,1062,1781,4583,3442,5323,8517,15831
2007-01-01,50,1,904,1279,2633,1883,3072,5590,10000
2007-01-01,51,0,1721,2274,4219,3234,4764,7346,18485
2007-01-01,51,1,1488,1945,2824,2525,3424,4325,7929
2007-01-01,52,0,541,1083,2262,1614,2589,4175,10753
2007-01-01,52,1,617,1047,1894,1451,2119,3229,8903
2007-01-01,53,0,1010,1566,2297,2153,2726,3472,7200
2007-01-01,53,1,642,1404,2092,2014,2542,3224,6225
2007-01-01,55,0,587,1028,1700,1430,1878,2469,6688
2007-01-01,55,1,512,800,1401,1292,1653,2089,4258
2007-01-01,56,0,408,637,1135,1056,1416,1788,3750
2007-01-01,56,1,316,532,940,812,1228,1572,3112
2007-01-01,58,0,761,1215,3152,1972,3615,6584,16038
2007-01-01,58,1,624,1020,2298,1574,2574,4346,10088
2007-01-01,59,0,500,922,2411,1615,2989,5057,10841
2007-01-01,59,1,468,810,1814,1230,2150,3600,9737
2007-01-01,60,0,805,1398,3207,2334,3793,6148,14085
2007-01-01,60,1,659,1122,2352,1762,2774,4400,10091
2007-01-01,61,0,1067,1866,3246,2723,3560,4956,14513
2007-01-01,61,1,684,1209,2297,1930,2618,3502,8562
2007-01-01,62,0,868,1332,3332,2250,3780,5827,18752
2007-01-01,62,1,676,1165,2492,1792,3000,4687,11431
2007-01-01,63,0,803,1319,3643,2238,4101,6477,19286
2007-01-01,63,1,608,1097,2264,1553,2661,4589,10351
2007-01-01,64,0,1415,2391,5348,3396,5047,8055,25161
2007-01-01,64,1,1134,1685,3368,2641,3770,5635,12576
2007-01-01,65,0,538,1394,3410,2200,3582,6165,23090
2007-01-01,65,1,822,1441,2583,2034,2897,4400,11891
2007-01-01,66,0,596,1104,3380,1539,3017,6110,25651
2007-01-01,66,1,581,793,1889,1257,1967,3424,10576
2007-01-01,68,0,590,886,1535,1250,1722,2547,6337
2007-01-01,68,1,491,654,1203,1130,1404,1900,4804
2007-01-01,69,0,560,782,2037,1236,1961,3677,11970
2007-01-01,69,1,557,661,1408,1165,1502,2353,7103
2007-01-01,70,0,500,792,2102,1187,1777,3302,12000
2007-01-01,70,1,439,618,1491,1080,1492,2717,8249
2007-01-01,71,0,400,730,1824,1169,1811,3572,10000
2007-01-01,71,1,492,735,1631,1218,1749,2970,8914
2007-01-01,72,0,476,920,2840,1606,3103,5957,19975
2007-01-01,72,1,525,1037,2689,1720,3085,5901,14305
2007-01-01,73,0,590,1050,3034,1655,2938,5500,23760
2007-01-01,73,1,263,633,1755,1271,2069,3478,10000
2007-01-01,74,0,413,673,1320,1104,1386,2025,7692
2007-01-01,74,1,500,629,1182,1078,1373,1886,5122
2007-01-01,75,0,569,623,986,870,1224,1490,2663
2007-01-01,75,1,479,590,882,698,1182,1376,2212
2007-01-01,77,0,617,1011,2045,1531,2578,3592,9540
2007-01-01,77,1,560,709,1433,1171,1609,2462,6793
