fecha,dolar
2022-06-01,206
2022-05-31,206
2022-05-30,206.5
2022-05-27,206.5
2022-05-26,207
2022-05-24,208
2022-05-23,206.5
2022-05-20,204
2022-05-19,206
2022-05-17,208
2022-05-16,205
2022-05-13,203.5
2022-05-12,203.5
2022-05-11,205
2022-05-10,202
2022-05-09,201.5
2022-05-06,201
2022-05-05,201.5
2022-05-04,201
2022-05-03,203.5
2022-05-02,201
2022-04-29,200.5
2022-04-28,204
2022-04-27,206.5
2022-04-26,212.5
2022-04-25,205.5
2022-04-22,203
2022-04-21,202
2022-04-20,199.5
2022-04-19,198
2022-04-18,195
2022-04-13,195
2022-04-12,195
2022-04-11,195
2022-04-08,196.5
2022-04-07,196
2022-04-06,196
2022-04-05,196
2022-04-04,199
2022-04-01,200
2022-03-31,200
2022-03-30,201
2022-03-29,200
2022-03-28,200
2022-03-25,202
2022-03-23,201
2022-03-22,201
2022-03-21,202
2022-03-18,202.5
2022-03-17,202
2022-03-16,202
2022-03-15,200
2022-03-14,200
2022-03-11,202
2022-03-10,203
2022-03-09,204.5
2022-03-08,202
2022-03-07,201
2022-03-07,201
2022-03-07,201
2022-03-07,201
2022-03-04,201
2022-03-03,204
2022-03-02,206
2022-02-25,211
2022-02-24,210.5
2022-02-23,210
2022-02-22,210
2022-02-21,211.5
2022-02-18,211
2022-02-17,214
2022-02-16,215
2022-02-15,215
2022-02-14,215
2022-02-11,215.5
2022-02-10,215.5
2022-02-09,217
2022-02-08,215
2022-02-07,214
2022-02-04,214
2022-02-03,216
2022-02-02,216.5
2022-02-01,214
2022-01-31,213
2022-01-28,212.5
2022-01-27,222.5
2022-01-26,221
2022-01-25,219.5
2022-01-24,219
2022-01-21,219
2022-01-20,214
2022-01-19,213
2022-01-18,211
2022-01-17,209
2022-01-14,209.5
2022-01-13,209.5
2022-01-12,208.5
2022-01-11,209
2022-01-10,206
2022-01-07,208
2022-01-06,208.5
2022-01-05,207.5
2022-01-04,206.5
2022-01-03,206
2021-12-30,208
2021-12-29,209
2021-12-28,206
2021-12-27,203.5
2021-12-23,204
2021-12-22,200.5
2021-12-21,199
2021-12-20,200
2021-12-17,200
2021-12-16,198.5
2021-12-15,198.5
2021-12-14,196.5
2021-12-13,195.5
2021-12-10,196.5
2021-12-09,196
2021-12-07,198
